product_id,asin,brand,display_name,api_title,price,rating,review_count,category,guide,main_image,image_1,image_2,image_3,image_4,amazon_url,product_url,api_status,verified_date
ateam-universal,B07Z5GB3L7,AteamProducts,Universal Strap Holder,Bike Fishing Rod Holder - Secures Fishing Pole to Bicycle - Easy Mount Rod Rack,0,3.5,117,Fishing Rod Holder,ebike-fishing-rod-holders-guide,https://m.media-amazon.com/images/I/81J9eWaBfPL._AC_SX679_.jpg,https://m.media-amazon.com/images/I/81J9eWaBfPL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/A1JSiobCPcL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/91EpZqkUs+L._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/91HALnbDnjL._AC_SL1500_.jpg,https://www.amazon.com/dp/B07Z5GB3L7,https://www.amazon.com/dp/B07Z5GB3L7,VERIFIED,2026-02-08
lectric-handlebar,,Lectric eBikes,Handlebar Rod Holder,,,,,Fishing Rod Holder,ebike-fishing-rod-holders-guide,,,,,,https://lectricebikes.com/products/fishing-rod-holder,https://lectricebikes.com/products/fishing-rod-holder,NO_ASIN,2026-02-08
bakcou-catch-release,,BAKCOU,Catch & Release Single Rod,,,,,Fishing Rod Holder,,,,,,,,https://bakcou.com/products/ebike-bicycle-fishing-rod-holder,NO_ASIN,2026-02-08
burley-flatbed,B00K4VLBRQ,Burley,Flatbed Cargo Trailer,"Burley Flatbed Bicycle Trailer, Carry Long Objects, Load Up to 99.3 lbs (45 kg), Unfolded Size: Length 33.0 inches (83.8 cm), Width 31.0 inches (78.5 cm)",,4.5,433,Cargo Trailer,https://m.media-amazon.com/images/I/81v39PE7pNL._AC_SX679_.jpg,https://m.media-amazon.com/images/I/81v39PE7pNL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81yQrSR4r4L._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81-o4GRDLiL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81fTIOaIwML._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/713yj4M1SHL._AC_SL1022_.jpg,https://www.amazon.com/dp/B00K4VLBRQ,https://www.amazon.com/dp/B00K4VLBRQ,VERIFIED,2026-02-08
burley-nomad,B0BW26F72R,Burley,Nomad Cargo Trailer,"Burley Nomad | Touring Cargo Bike Trailer with Water-Resistant Cover, Large Storage Capacity & 100 lb Load Rating",369.95,4.5,56,Cargo Trailer,https://m.media-amazon.com/images/I/6145dcQYZaL._AC_SX679_.jpg,https://m.media-amazon.com/images/I/6145dcQYZaL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81VPElY9fhL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/61CbHCtL4jL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/91bZoK9G18L._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/610fExfNusL._AC_SL1500_.jpg,https://www.amazon.com/dp/B0BW26F72R,https://www.amazon.com/dp/B0BW26F72R,VERIFIED,2026-02-08
aventon-hitch-trailer,,Aventon/Burley,Compatible Hitch Trailer,,,,,Cargo Trailer,,,,,,,,https://www.aventon.com/products/accessories,NO_ASIN,2026-02-08
topeak-explorer,B009XMO9BM,Topeak,Explorer Rear Rack,Topeak Rear Bike Rack,74.95,5,2,Cargo Rack,https://m.media-amazon.com/images/I/51qJrYH-DeL._AC_SX679_.jpg,https://m.media-amazon.com/images/I/51qJrYH-DeL._AC_SL1005_.jpg,,,,,https://www.amazon.com/dp/B009XMO9BM,https://www.amazon.com/dp/B009XMO9BM,VERIFIED,2026-02-08
thule-tour-rack,B0B6132N63,Thule,Pack 'n Pedal Tour Rack,,,,,Cargo Rack,,,,,,,https://www.amazon.com/dp/B0B6132N63,https://www.amazon.com/dp/B0B6132N63,ASIN_NOT_VERIFIED,2026-02-08
planet-eco-rack,B000SPMU9Q,Planet Bike,Eco Rear Rack,,,,,Cargo Rack,,,,,,,https://www.amazon.com/dp/B000SPMU9Q,https://www.amazon.com/dp/B000SPMU9Q,ASIN_NOT_VERIFIED,2026-02-08
planet-koko,B0043MLLI6,Planet Bike,K.O.K.O Rack,,,,,Cargo Rack,,,,,,,https://www.amazon.com/dp/B0043MLLI6,https://www.amazon.com/dp/B0043MLLI6,ASIN_NOT_VERIFIED,2026-02-08
axiom-streamliner,B00S2QYNI4,Axiom,Streamliner Disc DLX Rack,,,,,Cargo Rack,,,,,,,https://www.amazon.com/dp/B00S2QYNI4,https://www.amazon.com/dp/B00S2QYNI4,ASIN_NOT_VERIFIED,2026-02-08
axiom-transit,B001GSQUU4,Axiom,Transit Rack,,,,,Cargo Rack,,,,,,,https://www.amazon.com/dp/B001GSQUU4,https://www.amazon.com/dp/B001GSQUU4,ASIN_NOT_VERIFIED,2026-02-08
blackburn-expedition,B00XPRMVAW,Blackburn,Expedition 1 Disc Rack,,,,,Cargo Rack,,,,,,,https://www.amazon.com/dp/B00XPRMVAW,https://www.amazon.com/dp/B00XPRMVAW,ASIN_NOT_VERIFIED,2026-02-08
blackburn-outpost,B00SO89X76,Blackburn,Outpost Fat Bike Rack,,,,,Cargo Rack,,,,,,,https://www.amazon.com/dp/B00SO89X76,https://www.amazon.com/dp/B00SO89X76,ASIN_NOT_VERIFIED,2026-02-08
aventon-rear-rack,,Aventon,Rear Cargo Rack,,,,,Cargo Rack,,,,,,,,https://www.aventon.com/products/rear-rack,NO_ASIN,2026-02-08
rad-rear-rack,,Rad Power Bikes,Rear Rack,,,,,Cargo Rack,,,,,,,,https://www.radpowerbikes.com/products/rear-rack,NO_ASIN,2026-02-08
rad-large-basket,,Rad Power Bikes,Large Basket,,,,,Cargo Rack,,,,,,,,https://www.radpowerbikes.com/products/large-basket,NO_ASIN,2026-02-08
quietkat-ranger-rack,,QuietKat,Ranger 5 Pannier Rack,,,,,Pannier Rack,,,,,,,,https://www.lowes.com/pd/QuietKat-Ranger-5-0-Pannier-Rack,NO_ASIN,2026-02-08
ortlieb-backroller,B00T6IR7B2,Ortlieb,Back-Roller Classic Panniers (Pair),Ortlieb Back-Roller Classic QL2.1 Panniers (Pair) Yellow-Black #F5304,170,4.5,147,Pannier Bag,https://m.media-amazon.com/images/I/91Xq+ncGOKL._AC_SX679_.jpg,https://m.media-amazon.com/images/I/91Xq+ncGOKL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/91L6uUuU34L._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/A1fViuvzxQL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/911So6WsC+L._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81DtteZOgVL._AC_SL1500_.jpg,https://www.amazon.com/dp/B00T6IR7B2,https://www.amazon.com/dp/B00T6IR7B2,VERIFIED,2026-02-08
ortlieb-bikepacker,B09RQ479DL,Ortlieb,Bike-Packer Plus Panniers,,,,,Pannier Bag,,,,,,,https://www.amazon.com/dp/B09RQ479DL,https://www.amazon.com/dp/B09RQ479DL,ASIN_NOT_VERIFIED,2026-02-08
arkel-orca,,Arkel,Orca 45 Panniers (Pair),,,,,Pannier Bag,,,,,,,,https://arkel.ca/products/orca-panniers,NO_ASIN,2026-02-08
arkel-dolphin,,Arkel,Dolphin 48 Panniers,,,,,Pannier Bag,,,,,,,,https://www.arkel-od.com/en/shop/panniers/dolphin-48l,NO_ASIN,2026-02-08
quietkat-waterproof,B087442V54,QuietKat,Waterproof Pannier Bag,,,,,Pannier Bag,,,,,,,https://www.amazon.com/dp/B087442V54,https://www.amazon.com/dp/B087442V54,ASIN_NOT_VERIFIED,2026-02-08
thule-shield,B016Q7WFF8,Thule,Shield Panniers (Pair),,,,,Pannier Bag,,,,,,,https://www.amazon.com/dp/B016Q7WFF8,https://www.amazon.com/dp/B016Q7WFF8,ASIN_NOT_VERIFIED,2026-02-08
thule-commuter,B00L5H2SBQ,Thule,Pack 'n Pedal Commuter Pannier,,,,,Pannier Bag,,,,,,,https://www.amazon.com/dp/B00L5H2SBQ,https://www.amazon.com/dp/B00L5H2SBQ,ASIN_NOT_VERIFIED,2026-02-08
blackburn-local,B00NTAB502,Blackburn,Local Rear Pannier,,,,,Pannier Bag,,,,,,,https://www.amazon.com/dp/B00NTAB502,https://www.amazon.com/dp/B00NTAB502,ASIN_NOT_VERIFIED,2026-02-08
specialized-cave-pack,,Specialized,Fjallraven Cave Pack,,,,,Pannier Bag,,,,,,,,https://www.specialized.com/us/en/fjallraven-cave-pack/p/342399,NO_ASIN,2026-02-08
topeak-mtx-exp,B0187ZRKQ6,Topeak,MTX Trunk Bag EXP,,,,,Cargo Bag,,,,,,,https://www.amazon.com/dp/B0187ZRKQ6,https://www.amazon.com/dp/B0187ZRKQ6,ASIN_NOT_VERIFIED,2026-02-08
topeak-mtx-dxp,B000ZKES0S,Topeak,MTX Trunk Bag DXP,,,,,Cargo Bag,,,,,,,https://www.amazon.com/dp/B000ZKES0S,https://www.amazon.com/dp/B000ZKES0S,ASIN_NOT_VERIFIED,2026-02-08
quietkat-fatkat,B07P9VZK4X,QuietKat,FatKat Pannier Rear Set,,,,,Cargo Bag,,,,,,,https://www.amazon.com/dp/B07P9VZK4X,https://www.amazon.com/dp/B07P9VZK4X,ASIN_NOT_VERIFIED,2026-02-08
brooks-handlebar-roll,B09M7WM6Z9,Brooks England,Scape Handlebar Roll,,,,,Handlebar Bag,,,,,,,https://www.amazon.com/dp/B09M7WM6Z9,https://www.amazon.com/dp/B09M7WM6Z9,ASIN_NOT_VERIFIED,2026-02-08
brooks-handlebar-compact,B0B9RSF6QQ,Brooks England,Scape Handlebar Compact,,,,,Handlebar Bag,,,,,,,https://www.amazon.com/dp/B0B9RSF6QQ,https://www.amazon.com/dp/B0B9RSF6QQ,ASIN_NOT_VERIFIED,2026-02-08
revelate-harness,B00J2BGE8K,Revelate Designs,Handlebar Harness,,,,,Handlebar Harness,,,,,,,https://www.amazon.com/dp/B00J2BGE8K,https://www.amazon.com/dp/B00J2BGE8K,ASIN_NOT_VERIFIED,2026-02-08
revelate-sweetroll,B01N59VGGF,Revelate Designs,Sweet Roll,,,,,Handlebar Bag,,,,,,,https://www.amazon.com/dp/B01N59VGGF,https://www.amazon.com/dp/B01N59VGGF,ASIN_NOT_VERIFIED,2026-02-08
revelate-feedbag,B00J43XG3W,Revelate Designs,Mountain Feedbag,,,,,Handlebar Bag,,,,,,,https://www.amazon.com/dp/B00J43XG3W,https://www.amazon.com/dp/B00J43XG3W,ASIN_NOT_VERIFIED,2026-02-08
rambo-hauler,B0868WD176,Rambo Bikes,Fat Tire Bike Hauler,,,,,Bike Rack,,,,,,,https://www.amazon.com/dp/B0868WD176,https://www.amazon.com/dp/B0868WD176,ASIN_NOT_VERIFIED,2026-02-08
saris-edge,B0DY8D2BSP,Saris,Edge 2-Bike Hitch Rack,,,,,Bike Rack,,,,,,,https://www.amazon.com/dp/B0DY8D2BSP,https://www.amazon.com/dp/B0DY8D2BSP,ASIN_NOT_VERIFIED,2026-02-08
hollywood-sport-rider,B08HJTFN64,Hollywood Racks,Sport Rider Hitch Rack,,,,,Bike Rack,,,,,,,https://www.amazon.com/dp/B08HJTFN64,https://www.amazon.com/dp/B08HJTFN64,ASIN_NOT_VERIFIED,2026-02-08
rambo-gun-holder,,Rambo Bikes,Universal Gun/Bow Holder,,,,,Gun/Bow Holder,,,,,,,,https://ebikegeneration.com/collections/rambo-accessories,NO_ASIN,2026-02-08
rambo-rack-platform,,Rambo Bikes,Rack Platform,,,,,Cargo Basket,,,,,,,,https://ebikehaul.com/products/rambo-small-basket,NO_ASIN,2026-02-08
rambo-game-hauler,,Rambo Bikes,Aluminum Game Hauler,,,,,Game Hauler,,,,,,,,https://urbanbikesdirect.com/collections/rambo-bikes-accessories,NO_ASIN,2026-02-08
quietkat-light,,QuietKat,Hunter 800 Light,,,,,Lighting,,,,,,,,https://quietkat.com/products/hunter-800-light,NO_ASIN,2026-02-08
burley-cargo-net,,Burley,Cargo Net,,,,,Cargo Net,,,,,,,,https://www.burley.com/product/cargo-net/,NO_ASIN,2026-02-08
quietkat-ranger,,QuietKat,Ranger E-Bike,,,,,Hunting Bike,,,,,,,,https://quietkat.com/products/ranger-electric-bike,NO_ASIN,2026-02-08
aventon-aventure3,,Aventon,Aventure 3 E-Bike,,,,,Hunting Bike,,,,,,,,https://www.aventon.com/products/aventure-3,NO_ASIN,2026-02-08
bakcou-mule,,Bakcou,Mule E-Bike,,,,,Hunting Bike,,,,,,,,https://bakcou.com/products/mule,NO_ASIN,2026-02-08
rambo-megatron,,Rambo Bikes,Megatron E-Bike,,,,,Hunting Bike,,,,,,,,https://www.rambobikes.com/products/megatron,NO_ASIN,2026-02-08
quietkat-ambush,,QuietKat,Ambush 750 LT E-Bike,,,,,Hunting Bike,,,,,,,,https://quietkat.com/products/ambush-750-lt,NO_ASIN,2026-02-08
rambo-r750xp,,Rambo Bikes,R750XP E-Bike,,,,,Hunting Bike,,,,,,,,https://www.rambobikes.com/products/750xp,NO_ASIN,2026-02-08
specialized-haul-st,,Specialized,Globe Haul ST,,,,,Cargo Bike,,,,,,,,https://www.specialized.com/us/en/haul-st/p/277759,NO_ASIN,2026-02-08
specialized-haul-lt,,Specialized,Globe Haul LT,,,,,Cargo Bike,,,,,,,,https://www.specialized.com/us/en/haul-lt/p/277758,NO_ASIN,2026-02-08
